               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.032236,            0.014706,           0.0052596,             0.79259,             0.36542,             0.37638,              0.1817,            0.036245,           0.0099869,           0.0059987,            0.001288,            0.001288,            0.001288
                  90,            0.032315,            0.014548,           0.0052317,             0.81451,             0.37308,             0.38645,             0.18959,            0.036048,           0.0099506,           0.0059983,            0.001189,            0.001189,            0.001189
                  91,            0.032132,             0.01458,           0.0051299,             0.81839,             0.36854,             0.38926,              0.1908,            0.036457,           0.0099737,           0.0061312,             0.00109,             0.00109,             0.00109
                  92,            0.032177,            0.014724,           0.0054098,             0.82594,             0.36042,             0.38131,             0.18559,            0.036178,            0.009948,           0.0060167,            0.000991,            0.000991,            0.000991
                  93,            0.031729,            0.014358,           0.0047646,             0.80362,             0.36438,             0.38574,             0.18433,            0.036395,           0.0099326,           0.0060952,            0.000892,            0.000892,            0.000892
                  94,            0.031992,            0.014564,           0.0050952,              0.8101,             0.37019,             0.38032,             0.18602,            0.036265,           0.0099305,           0.0060222,            0.000793,            0.000793,            0.000793
                  95,            0.031554,            0.014341,           0.0048958,             0.80957,             0.36266,              0.3756,             0.18519,             0.03616,            0.010003,           0.0060525,            0.000694,            0.000694,            0.000694
                  96,            0.031941,            0.014589,           0.0053973,             0.82491,              0.3646,             0.38504,             0.18689,            0.035856,           0.0099529,           0.0059256,            0.000595,            0.000595,            0.000595
                  97,             0.03163,            0.014635,           0.0050834,             0.82262,             0.35603,             0.37862,             0.18622,            0.035847,           0.0099454,           0.0059654,            0.000496,            0.000496,            0.000496
                  98,            0.031259,             0.01432,           0.0052006,             0.82837,             0.36303,             0.38701,             0.18684,            0.035847,            0.010008,           0.0059694,            0.000397,            0.000397,            0.000397
                  99,            0.031977,            0.014523,            0.005218,             0.81072,              0.3776,             0.38615,             0.18524,            0.035921,           0.0099944,           0.0059606,            0.000298,            0.000298,            0.000298
